# id,price_doc
1,16683473.90
3,17797275.06
6,23262647.91
16,18114133.81
18,17552336.02
19,19131418.17
21,22259998.65
23,18137422.31
24,13829937.69
25,16046147.09
32,24701908.28
36,15754672.29
37,16436409.33
38,14054678.51
41,19711382.33
42,18352909.79
43,16993281.31
44,21744608.75
45,21712766.27
48,14707036.34
55,15431352.26
61,25202790.80
63,18307973.52
64,16088861.89
65,17040888.98
70,16487802.32
71,14680700.47
72,21821206.01
73,23342299.41
74,15954876.32
75,17754346.93
78,15050118.43
84,22986121.50
90,23261059.91
94,20642201.00
98,15843469.34
110,22442148.40
113,19350006.75
116,17367329.02
119,14344650.34
122,14790355.64
124,17407741.53
127,19426399.41
130,20302572.67
134,17471821.44
135,18281260.78
138,19649912.15
140,15992141.79
141,13236291.81
150,19552947.27
155,13628998.60
157,18744540.61
160,15219621.44
164,15758383.19
169,18593356.31
171,30598701.21
173,16096694.75
176,14006872.81
178,22040943.42
181,23598211.24
186,26808723.60
193,14343295.15
194,16222453.45
196,16808007.65
197,18831163.82
198,17669111.88
199,16753498.35
205,17369488.10
207,23449965.63
209,22066369.71
210,16419897.86
213,17380356.60
217,21860377.97
220,24009203.33
221,21406362.74
226,19443267.40
227,18377676.79
228,15155283.82
229,14692186.70
235,19271003.29
238,18120209.21
241,17207264.60
249,21481376.55
250,15337243.97
251,15569856.19
254,16921455.52
258,17621026.79
266,17064748.86
269,14843416.51
270,13722443.59
276,17175904.04
278,17919032.76
281,26224256.95
292,13649867.61
294,24195265.65
296,17470342.84
297,17829774.06
298,37846617.40
300,16487605.88
303,18971264.38
304,14580069.26
307,20280932.80
308,19750334.69
311,15475076.71
313,16637576.00
317,20075651.96
319,20427520.97
321,16036265.06
322,17149750.60
323,18757261.58
330,17196940.48
332,20360338.34
333,18224812.49
334,15764913.04
337,17789743.42
338,18258973.41
340,17392967.75
341,17656320.81
344,12404543.01
356,16590885.85
359,18160242.70
360,16412828.73
361,15706933.21
369,15889235.81
371,17738691.98
377,15104797.12
378,24288678.32
379,23558317.25
385,19519461.55
388,20986026.95
389,14772187.10
392,16618531.82
